,act,nalu,arch,lossf,lr,epoch,batch,h1,h2,seed,exp,op,init,loss,cost,fpref,fposop,flr,fmaxstep,fbatch,fcell,farch,fact,floss,fh1,fh2,fseed,fsr,fmean,fstd,fig,fim,fiw,fsg,fsm,fsw,flwt,fwcext,fname
913,none,NALUi,nalu,rsme,0.01,200,64,2,1,115,ext,ADD,1.0-1.0,0.002644447,"0.002644447
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,115,False,1.0,1.0,-1.0,0.0,1.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_115_False_1.0-1.0_-1.0-0.0-1.0_0.5-0.5-0.5_False_True.ext.csv
914,none,NALUi,nalu,rsme,0.01,200,64,2,1,109,ext,ADD,1.0-1.0,7684.358,"7684.358
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,109,False,1.0,1.0,-1.0,1.0,-1.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_109_False_1.0-1.0_-1.0-1.0--1.0_0.5-0.5-0.5_False_True.ext.csv
915,none,NALUi,nalu,rsme,0.01,200,64,2,1,110,ext,MUL,1.0-1.0,0.000142792,"0.000142792
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,110,False,1.0,1.0,0.0,-1.0,1.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_110_False_1.0-1.0_0.0--1.0-1.0_0.1-0.1-0.1_False_True.ext.csv
916,none,NALUi,nalu,rsme,0.01,200,64,2,1,117,ext,MUL,1.0-1.0,0.00011769858,"0.00011769858
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,117,False,1.0,1.0,0.0,1.0,-1.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_117_False_1.0-1.0_0.0-1.0--1.0_0.5-0.5-0.5_False_True.ext.csv
917,none,NALUi,nalu,rsme,0.01,200,64,2,1,116,int,ADD,1.0-1.0,1.6324736e-12,"1.6324736e-12
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,116,False,1.0,1.0,-1.0,-1.0,0.0,0.5,0.5,0.5,False,True.int.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_116_False_1.0-1.0_-1.0--1.0-0.0_0.5-0.5-0.5_False_True.int.csv
918,none,NALUi,nalu,rsme,0.01,200,64,2,1,119,int,MUL,1.0-1.0,666.3165,"666.3165
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,119,False,1.0,1.0,1.0,-1.0,-1.0,0.5,0.5,0.5,False,True.int.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_119_False_1.0-1.0_1.0--1.0--1.0_0.5-0.5-0.5_False_True.int.csv
919,none,NALUi,nalu,rsme,0.01,200,64,2,1,106,int,MUL,1.0-1.0,0.00076343823,"0.00076343823
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,106,False,1.0,1.0,-1.0,1.0,-1.0,0.5,0.5,0.5,False,True.int.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_106_False_1.0-1.0_-1.0-1.0--1.0_0.5-0.5-0.5_False_True.int.csv
920,none,NALUi,nalu,rsme,0.01,200,64,2,1,108,ext,ADD,1.0-1.0,1.0622851e+17,"1.0622851e+17
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,108,False,1.0,1.0,-1.0,1.0,1.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_108_False_1.0-1.0_-1.0-1.0-1.0_0.1-0.1-0.1_False_True.ext.csv
921,none,NALUi,nalu,rsme,0.01,200,64,2,1,110,int,MUL,1.0-1.0,1.083994e-08,"1.083994e-08
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,110,False,1.0,1.0,0.0,-1.0,1.0,0.5,0.5,0.5,False,True.int.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_110_False_1.0-1.0_0.0--1.0-1.0_0.5-0.5-0.5_False_True.int.csv
922,none,NALUi,nalu,rsme,0.01,200,64,2,1,117,int,DIV,1.0-1.0,110524.016,"110524.016
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,117,False,1.0,1.0,-1.0,-1.0,1.0,0.1,0.1,0.1,False,True.int.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_117_False_1.0-1.0_-1.0--1.0-1.0_0.1-0.1-0.1_False_True.int.csv
