       fig   fim   fiw  fsg  fsm  fsg   op          loss
4172  -1.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.907856e-08
1223  -1.0  -1.0  -1.0  0.5  0.5  0.5  ADD  1.915410e-08
3144  -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.916148e-08
2774  -1.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.918115e-08
3840   0.0   0.0   1.0  0.1  0.1  0.1  ADD  1.926445e-08
1303   1.0  -1.0  -1.0  0.1  0.1  0.1  ADD  1.933327e-08
87    -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.937774e-08
1011   0.0  -1.0  -1.0  0.5  0.5  0.5  ADD  1.939762e-08
1285  -1.0  -1.0   1.0  0.5  0.5  0.5  ADD  1.946478e-08
1686  -1.0  -1.0  -1.0  0.5  0.5  0.5  ADD  1.946550e-08
1815   0.0   0.0   0.0  0.1  0.1  0.1  ADD  1.947799e-08
3684  -1.0  -1.0   1.0  0.1  0.1  0.1  ADD  1.947910e-08
2067   0.0   0.0   1.0  0.1  0.1  0.1  ADD  1.953245e-08
2498  -1.0   0.0   0.0  0.5  0.5  0.5  ADD  1.956080e-08
3753  -1.0  -1.0   1.0  0.1  0.1  0.1  ADD  1.961506e-08
1735   0.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.964197e-08
2939   1.0  -1.0  -1.0  0.1  0.1  0.1  ADD  1.967520e-08
430   -1.0  -1.0  -1.0  0.1  0.1  0.1  ADD  1.973763e-08
1490  -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.974185e-08
4085  -1.0  -1.0   1.0  0.5  0.5  0.5  ADD  1.975081e-08
3184   1.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.976595e-08
2750   0.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.976717e-08
544   -1.0  -1.0   1.0  0.5  0.5  0.5  ADD  1.985030e-08
3447  -1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.986277e-08
1748  -1.0   0.0   1.0  0.1  0.1  0.1  ADD  1.991061e-08
911    0.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.993198e-08
947    1.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.997779e-08
4028   0.0  -1.0  -1.0  0.1  0.1  0.1  ADD  2.004467e-08
3983  -1.0  -1.0   0.0  0.1  0.1  0.1  ADD  2.005587e-08
1497  -1.0  -1.0  -1.0  0.5  0.5  0.5  ADD  2.010877e-08
687   -1.0   0.0   1.0  0.1  0.1  0.1  ADD  2.011345e-08
3180  -1.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.011375e-08
1661  -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  2.011707e-08
3792  -1.0  -1.0   0.0  0.1  0.1  0.1  ADD  2.015946e-08
3713  -1.0  -1.0   1.0  0.5  0.5  0.5  ADD  2.023828e-08
3205   0.0  -1.0   0.0  0.1  0.1  0.1  ADD  2.030547e-08
2277  -1.0  -1.0   0.0  0.1  0.1  0.1  ADD  2.031304e-08
4213  -1.0  -1.0  -1.0  0.5  0.5  0.5  ADD  2.047459e-08
871   -1.0  -1.0  -1.0  0.1  0.1  0.1  ADD  2.047971e-08
1381  -1.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.056912e-08
3536  -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  2.058460e-08
2909   1.0  -1.0   0.0  0.1  0.1  0.1  ADD  2.074055e-08
2938  -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  2.092737e-08
1506   1.0  -1.0   0.0  0.1  0.1  0.1  ADD  2.093213e-08
293   -1.0   0.0   0.0  0.1  0.1  0.1  ADD  2.098702e-08
950   -1.0  -1.0  -1.0  0.1  0.1  0.1  ADD  2.120925e-08
1369  -1.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.124480e-08
2172  -1.0   0.0   1.0  0.1  0.1  0.1  ADD  2.168082e-08
2502  -1.0  -1.0   0.0  0.1  0.1  0.1  ADD  2.170761e-08
513   -1.0  -1.0   1.0  0.5  0.5  0.5  ADD  2.173812e-08
2712   0.0  -1.0   0.0  0.5  0.5  0.5  ADD  2.176849e-08
3578  -1.0   0.0   1.0  0.1  0.1  0.1  ADD  2.182380e-08
3771   0.0   0.0   1.0  0.1  0.1  0.1  ADD  2.185396e-08
1860   1.0  -1.0   0.0  0.1  0.1  0.1  ADD  2.214478e-08
3781  -1.0   0.0   0.0  0.1  0.1  0.1  ADD  2.283660e-08
1709  -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  2.285535e-08
3688   0.0  -1.0   0.0  0.5  0.5  0.5  ADD  2.449665e-08
1125   1.0   0.0   1.0  0.1  0.1  0.1  ADD  8.977839e-08
3191   1.0   0.0   1.0  0.1  0.1  0.1  ADD  9.020214e-08
3166   1.0   0.0   1.0  0.1  0.1  0.1  ADD  9.140882e-08
3482   1.0   0.0   1.0  0.1  0.1  0.1  ADD  9.183802e-08
